stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
e54e3095-1025-450b-acda-099e71644ad0,BUS759E,"S Driftwood & Shenandoah Dr (SE Corner) - BUS759E",,40.4214756441996,-86.8463362363777,0
9ab8fd62-6ed0-41cf-bced-6405b61307f2,BUS920SE,"Claremont Ln & Shenandoah Dr(SE Corner) - BUS920SE","Claremont Ln & Shenandoah Dr (SE Corner) - BUS920SE",40.4230286433118,-86.8470899371558,0
5b599e08-a067-455d-aded-7962e520804b,BUS781,"(West of) 29th St & Greenbush St - BUS781",,40.4321696121794,-86.8621907748098,0
1db0cbfe-0ec0-42a8-89b1-b3535e82a12c,BUS780,"Hemlock Rd & Greenbush St (NE Corner) - BUS780",,40.4322648306051,-86.8558379623793,0
77e12439-6ede-4d20-99ba-46a7662e2d47,BUS760N,"Executive Dr & Rome Dr (NE Corner) - BUS760N",,40.420661593715,-86.8435883130782,0
ab6d0172-d4e2-4c87-9198-e5379587382a,BUS987NW,"9thSt & Roberts St (NW Corner) - BUS987NW",,40.4297811049092,-86.8871111802525,0
07b86780-3621-4059-83aa-f1645e78e575,BUS230N,"Wabash Center on Greenbush St - BUS230N","Wabash Center on Greenbush St BUS230N",40.4321347434601,-86.8741936608668,0
74c0f1ae-d1cf-496b-8b6f-d127b653e202,BUS341SE,"Union St & Shenandoah Dr (SE Corner) - BUS341SE","Union St & Shenandoah Dr (SE Corner) BUS341SE",40.4248391345047,-86.8470389751815,0
0e21502f-ca41-4ea2-b892-4944620e8932,BUS231N,"(West of) US 52 & Greenbush St - BUS231N","(West of) US 52 & Greenbush St BUS231N",40.4321830232252,-86.858748159334,0
d90a8801-3979-4f00-bf09-3881a650f0b8,BUS756E,"Redondo Dr & Shenandoah Dr (SE Corner) - BUS756E",,40.4281074063842,-86.8449991551041,0
5687dd08-68c3-42d5-ab1c-8ba5033ba620,BUS766E,"(North of) Sickle Ct & McCarty Ln - BUS766E",,40.4030542315873,-86.8342434963133,0
1f401031-a5a6-44d0-8bb4-d7b5a7208c63,BUS193N,"(North of) Creasy Ln & SR 26 (East Side) - BUS193N","(North of) Creasy Ln & SR 26 (East Side) BUS193N",40.4179404925073,-86.8388689660352,0
d02254d6-497b-4f1c-a54c-1f0bafcd0a7e,BUS330NE,"18th St & Greenbush St (NE Corner) - BUS330NE","18th St & Greenbush St (NE Corner) BUS330NE",40.43210255695,-86.8774994836747,0
bad35cbe-fce7-4237-9449-f2c1d801324b,BUS245NE,"Market Square (EAST) on Greenbush St - BUS245NE","Market Square (EAST) on Greenbush St BUS245NE",40.4321575422381,-86.8691350143632,0
